"tag","topic","propensity"
"bootstrap-slider","topic_119","0.016138718"
"message-digest","topic_378","0.013486454"
"adomd.net","topic_778","0.005428833"
"longest-substring","topic_909","0.0061216094"
"impresspages","topic_23","0.007892639"
"atexit","topic_287","0.006748841"
"wordpress-hook","topic_311","0.00407055"
"windows-8.1-universal","topic_232","0.012924294"
"postgresql-9.0","topic_906","0.008648105"
"typescript1.6","topic_707","0.00054635236"
"bonobo","topic_880","0.0058764094"
"maxdate","topic_204","0.00917167"
"material-components-android","topic_828","0.00479902"
"secure-gateway","topic_874","0.0012689286"
"bonita","topic_351","0.0046739187"
"ccl","topic_336","0.0019200746"
"dynamic-import","topic_123","0.00063116336"
"ihttpmodule","topic_635","0.0030281427"
"ixmlserializable","topic_759","0.004256352"
"soot","topic_345","0.006604438"
"app-code","topic_31","0.014302462"
"custom-binding","topic_640","0.024567699"
"node-fibers","topic_925","0.0028562788"
"slidify","topic_759","0.0046094134"
"marklogic-dhf","topic_34","0.00020447846"
"marklogic-dhf","topic_692","0.0047508604"
"wpa","topic_920","0.00597516"
"html.beginform","topic_294","0.0064069265"
"parallel-extensions","topic_864","0.006167272"
"virtual-attribute","topic_137","0.000348267"
"qt-installer","topic_306","0.0010448735"
"adminhtml","topic_752","0.006417253"
"singularitygs","topic_401","0.0019429333"
"boost-phoenix","topic_869","0.0043493947"
"control-flow-graph","topic_492","0.0043844925"
"yui-datatable","topic_303","0.0018095798"
"google-plugin-eclipse","topic_837","0.006983722"
"adam","topic_680","0.0030296454"
"connection-refused","topic_955","0.0065968013"
"namevaluecollection","topic_876","0.0010304156"
"zipline","topic_354","0.004127862"
"eclipse-marketplace","topic_561","0.010162834"
"streamsets","topic_322","0.008000275"
"express-4","topic_816","0.0029339069"
"writable","topic_664","0.004049282"
"enterprise-distribution","topic_537","0.0023426285"
"prototyping","topic_932","0.006520993"
"watch-os-3","topic_539","0.013113214"
"django-contenttypes","topic_464","0.008833339"
"piranha-cms","topic_294","0.004098124"
"gitweb","topic_225","0.0047708247"
"compiler-directives","topic_903","0.005908066"
"cf-bosh","topic_316","0.003927833"
"amr","topic_134","0.00540315"
"neo4j-spatial","topic_746","0.0074003176"
"struts2-json-plugin","topic_905","0.0053218636"
"legacy-database","topic_87","0.0039030463"
"globalize","topic_438","0.005414741"
"react-redux-form","topic_853","0.008820396"
"templatetags","topic_554","0.0025641485"
"google-cdn","topic_954","0.002456213"
"uncrustify","topic_304","0.0017425788"
"semantic-segmentation","topic_821","0.005541316"
"php-java-bridge","topic_701","0.0052836505"
"embedded-fonts","topic_128","0.008770438"
"futuretask","topic_841","0.009071933"
"google-nearby","topic_212","0.0076949773"
"java-service-wrapper","topic_835","0.009153217"
"fminsearch","topic_216","0.0010792189"
"natural-language-processing","topic_301","0.0054914514"
"terminator","topic_133","0.009841228"
"plivo","topic_232","0.014120136"
"extent","topic_747","0.002408103"
"treemodel","topic_924","0.005016079"
"erlang-supervisor","topic_776","0.0011451697"
"gd2","topic_231","0.006568138"
"dropbox-php","topic_849","0.0035872222"
"icomparer","topic_658","0.009380428"
"krl","topic_564","0.0026687633"
"connection-reset","topic_919","0.0064365915"
"actionmethod","topic_917","0.0071546207"
"sphero-api","topic_622","0.004040471"
"angularjs-validation","topic_988","0.02296093"
"dotnetrdf","topic_726","0.006348393"
"xlink","topic_353","0.018865239"
"tilt","topic_870","0.0068931067"
"stunnel","topic_94","0.00693154"
"poi-hssf","topic_183","0.0068473234"
"exec-maven-plugin","topic_195","0.004513958"
"static-constructor","topic_360","0.011010074"
"xcode9.4","topic_441","0.008185767"
"dynamic-compilation","topic_805","0.005148979"
"jitpack","topic_686","0.0056139515"
"remoteobject","topic_362","0.002046996"
"oxygene","topic_107","0.002686916"
"javascript-engine","topic_95","0.004540214"
"google-api-ruby-client","topic_342","0.0023366585"
"monkey","topic_252","0.005930369"
"dragula","topic_167","0.007035561"
"fragment-lifecycle","topic_600","0.0024461302"
"groupwise-maximum","topic_946","0.0049312003"
"sql-drop","topic_372","0.02729636"
"windows-api-code-pack","topic_843","0.0041531413"
"culling","topic_378","0.013368669"
"deployd","topic_695","0.0049913856"
"pearson-correlation","topic_308","0.0071453056"
"puredata","topic_440","0.008577384"
"ngen","topic_909","0.007428198"
"selenium-extent-report","topic_324","0.001284341"
"python-cffi","topic_390","0.0019210076"
"filelist","topic_167","0.005321515"
"automapper-2","topic_581","0.004651025"
"panning","topic_50","0.027193952"
"scenegraph","topic_549","0.0076271663"
"urlparse","topic_562","0.0068518654"
"bootcompleted","topic_269","0.0023711314"
"pdfrenderer","topic_454","0.0046577686"
"breakout","topic_14","0.01280994"
"xml-libxml","topic_945","0.008858202"
"wordpress-thesis-theme","topic_54","0.005472439"
"mersenne-twister","topic_103","0.009278196"
"unsupported-class-version","topic_727","0.00646755"
"zend-mail","topic_623","0.010279773"
"nawk","topic_874","0.0015094839"
"remote-branch","topic_914","0.001044744"
"eventargs","topic_726","0.008284226"
"san","topic_223","0.0056007225"
