topic_0
okhttp: 0.13566826283931732; 
 okhttp3: 0.09406868368387222; 
 drawer: 0.0360976904630661; 
 fragmentstatepageradapter: 0.025161029770970345; 
 typed-arrays: 0.016304347664117813; 
 themoviedb-api: 0.007581856567412615; 
 angular-material-7: 0.007581804879009724; 
 android-tablayout: 8.069171286706478e-08; 
 viewflipper: 3.459857467191796e-08; 
 viewpagerindicator: 2.110094543539276e-09; 
 android-scrollview: 2.8242378054266215e-12; 
 slidingdrawer: 7.819934478604795e-13; 
 android-tabbed-activity: 6.011299856327479e-13; 
 sliding: 5.642759480159465e-13; 
 fragmentpageradapter: 5.58532603847639e-13; 
 pagerslidingtabstrip: 5.515175989512233e-13; 
 http2: 2.852682825203734e-13; 
 fragmentmanager: 6.407966198678297e-14; 
 contextual-action-bar: 6.230720149894009e-14; 
 topic_1
connect: 0.30002835392951965; 
 volume: 0.2072097361087799; 
 boot: 0.17896677553653717; 
 firmware: 0.06273062527179718; 
 google-polyline: 0.05904058367013931; 
 ringtone: 0.056627869606018066; 
 webp: 0.05109281465411186; 
 pci: 0.04938918352127075; 
 syntaxnet: 0.01802440918982029; 
 albumart: 0.016889013350009918; 
 mount: 3.683954048483429e-07; 
 pci-e: 2.030766239613513e-07; 
 bios: 4.2960369484035255e-08; 
 android-audiomanager: 1.5752434023852402e-08; 
 mute: 9.442222115296772e-09; 
 bootloader: 4.161706534944187e-09; 
 disk-partitioning: 4.07574729521798e-09; 
 uefi: 2.2415012068677242e-09; 
 mbr: 1.0714471532224934e-09; 
 mutagen: 2.4795047959269567e-11; 
 topic_2
gallery: 0.5185790657997131; 
 target: 0.23900118470191956; 
 image-size: 0.06762782484292984; 
 brightcove: 0.038644470274448395; 
 fragment-identifier: 0.035225920379161835; 
 postman-collection-runner: 0.03061831183731556; 
 image-preloader: 0.024078477174043655; 
 360-degrees: 0.023929838091135025; 
 isa: 0.02229488641023636; 
 newman: 5.103679145967988e-10; 
 photos: 5.772098077283516e-11; 
 clipboard.js: 2.3932195201276096e-12; 
 viewflipper: 1.2501523254104807e-12; 
 360-panorama: 1.8621311903468246e-13; 
 media-library: 1.1427778211572925e-13; 
 rel: 3.396154885093594e-14; 
 flickity: 3.185186760613218e-14; 
 targets: 1.915071190007351e-14; 
 hashbang: 1.7934364117486862e-14; 
 galleryview: 1.645380134766318e-14; 
 topic_3
rss: 0.5151666402816772; 
 xml-namespaces: 0.14102834463119507; 
 jobs: 0.13801732659339905; 
 feed: 0.12233193963766098; 
 rss-reader: 0.028989939019083977; 
 atom-feed: 0.02539566159248352; 
 visual-studio-2003: 0.020306961610913277; 
 google-feed-api: 0.008744117803871632; 
 feedburner: 8.709917892701924e-06; 
 podcast: 7.131839083740488e-06; 
 yahoo-pipes: 3.081052682318841e-06; 
 rome: 2.1104770553392882e-07; 
 feeds: 9.925298360968782e-10; 
 google-reader: 1.7794510309698808e-10; 
 start-job: 5.76099619398196e-11; 
 .net-1.1: 5.526891791451938e-11; 
 websub: 1.0312634426967726e-11; 
 yql: 1.9184701570418294e-12; 
 xelement: 5.604668205233532e-13; 
 news-feed: 6.689530792367351e-14; 
 topic_4
listbox: 0.7175841927528381; 
 custom-controls: 0.26499831676483154; 
 inkcanvas: 0.017417415976524353; 
 itemssource: 4.192906999378465e-08; 
 wrappanel: 9.826741198537547e-09; 
 listboxitems: 2.924824271666182e-10; 
 listboxitem: 2.488922679066974e-10; 
 ownerdrawn: 2.420069145081527e-10; 
 selectedindexchanged: 1.1138132083310381e-11; 
 itemtemplate: 2.4696911182786607e-12; 
 flowlayoutpanel: 2.4176307657219898e-12; 
 onpaint: 2.238787632927522e-13; 
 templatebinding: 1.6975282941464331e-13; 
 expander: 1.178369620440491e-14; 
 contentpresenter: 1.0815305458665696e-14; 
 design-time: 1.919812456929607e-15; 
 stroke: 1.2840237033690167e-15; 
 frameworkelement: 1.2299197915005035e-15; 
 bindinglist: 8.59447485645733e-16; 
 dependency-properties: 5.555916741145531e-16; 
 topic_5
entity-framework-4.1: 0.30176660418510437; 
 dbcontext: 0.19556283950805664; 
 datacontext: 0.142050102353096; 
 iqueryable: 0.1278759092092514; 
 unsafe: 0.07456860691308975; 
 ef-core-2.0: 0.06614625453948975; 
 entity-framework-4.3: 0.03564091771841049; 
 single-instance: 0.022699257358908653; 
 dbset: 0.0184880830347538; 
 interception: 0.01520131342113018; 
 table-per-type: 9.220101304663331e-08; 
 transactionscope: 2.7912556710418812e-09; 
 submitchanges: 2.146062438868057e-09; 
 ef-fluent-api: 1.7498021920303586e-09; 
 asp.net-mvc-scaffolding: 1.7223900083962462e-09; 
 edmx: 1.2290058970521045e-09; 
 itemssource: 3.40964839695701e-10; 
 iequalitycomparer: 3.343934504296264e-11; 
 dynamic-linq: 1.9047992350085252e-11; 
 ilist: 1.1666514108943371e-11; 
 topic_6
binary: 0.3248545825481415; 
 iterator: 0.31291159987449646; 
 formatting: 0.2919832170009613; 
 subtraction: 0.029941942542791367; 
 scientific-notation: 0.01343584805727005; 
 divide-by-zero: 0.01137962844222784; 
 ctime: 0.005774315446615219; 
 python-embedding: 0.005606468301266432; 
 remove-if: 0.0041124396957457066; 
 twos-complement: 5.2621891219462036e-12; 
 listiterator: 6.537544621322902e-14; 
 post-increment: 2.4625121413561837e-14; 
 java1.4: 1.2319739311008899e-14; 
 multiplication: 5.685037384833792e-15; 
 const-iterator: 2.2624917059608325e-15; 
 read-write: 1.6238310871925766e-15; 
 conditional-formatting: 4.3562692719051853e-16; 
 bitstring: 2.7145240731528907e-16; 
 int32: 2.5646595925863714e-16; 
 erase: 2.342601170436388e-16; 
 topic_7
equals: 0.40102025866508484; 
 hashcode: 0.25754278898239136; 
 cakephp-2.1: 0.1503351330757141; 
 restrictions: 0.03642924129962921; 
 woothemes: 0.03478693962097168; 
 storefront: 0.027023330330848694; 
 gethashcode: 0.026748837903141975; 
 dynamic-jasper: 0.02477172389626503; 
 iequatable: 0.02090202458202839; 
