,0,1
bootstrap-slider,topic_119,0.016138718
message-digest,topic_378,0.012197071
adomd.net,topic_197,0.002393834
longest-substring,topic_909,0.0061216094
impresspages,topic_23,0.008404284
atexit,topic_287,0.006849138
wordpress-hook,topic_311,0.0039742775
windows-8.1-universal,topic_232,0.014126282
postgresql-9.0,topic_906,0.0086891595
typescript1.6,topic_707,0.0005513621
bonobo,topic_880,0.0058764094
maxdate,topic_204,0.00841986
material-components-android,topic_828,0.004799578
secure-gateway,topic_874,0.0012766321
bonita,topic_351,0.004722302
ccl,topic_336,0.001992525
dynamic-import,topic_123,0.0006275015
ihttpmodule,topic_635,0.003028137
ixmlserializable,topic_759,0.0043078675
soot,topic_345,0.006604438
app-code,topic_31,0.013919949
custom-binding,topic_640,0.024013314
node-fibers,topic_925,0.003094904
slidify,topic_759,0.004665202
marklogic-dhf,topic_692,0.005069567
wpa,topic_920,0.0060994998
html.beginform,topic_294,0.0064069265
parallel-extensions,topic_864,0.0061262045
virtual-attribute,topic_137,0.00034600822
qt-installer,topic_306,0.001046528
adminhtml,topic_752,0.006479938
singularitygs,topic_401,0.0019429333
boost-phoenix,topic_869,0.0043309224
control-flow-graph,topic_492,0.0043844925
yui-datatable,topic_303,0.001808739
google-plugin-eclipse,topic_837,0.0069899424
adam,topic_680,0.002987835
connection-refused,topic_955,0.006589015
namevaluecollection,topic_876,0.0010345989
zipline,topic_354,0.004127862
eclipse-marketplace,topic_561,0.01014618
streamsets,topic_322,0.008000275
express-4,topic_816,0.0030648247
writable,topic_664,0.004049282
enterprise-distribution,topic_537,0.0021982559
prototyping,topic_932,0.006520993
watch-os-3,topic_539,0.013129033
django-contenttypes,topic_464,0.009302842
piranha-cms,topic_294,0.004098124
gitweb,topic_225,0.0047702272
compiler-directives,topic_903,0.0058532166
cf-bosh,topic_316,0.003945257
amr,topic_134,0.005403736
neo4j-spatial,topic_746,0.0073956843
struts2-json-plugin,topic_905,0.0053218636
legacy-database,topic_87,0.0039114305
globalize,topic_438,0.0054999324
react-redux-form,topic_853,0.00882789
templatetags,topic_554,0.002912963
google-cdn,topic_954,0.002456213
uncrustify,topic_304,0.0016627436
semantic-segmentation,topic_821,0.005541316
php-java-bridge,topic_701,0.0052395714
embedded-fonts,topic_128,0.008770438
futuretask,topic_841,0.017207248
google-nearby,topic_212,0.0076949773
java-service-wrapper,topic_835,0.009153217
fminsearch,topic_216,0.0010912882
natural-language-processing,topic_301,0.0054895626
terminator,topic_133,0.009841228
plivo,topic_232,0.01543334
extent,topic_747,0.0024079354
treemodel,topic_924,0.0049147857
erlang-supervisor,topic_776,0.0011569132
gd2,topic_231,0.006448715
dropbox-php,topic_849,0.0039779046
icomparer,topic_658,0.0097543355
krl,topic_564,0.0026693468
connection-reset,topic_919,0.0064364756
actionmethod,topic_917,0.0072081382
sphero-api,topic_622,0.004061363
angularjs-validation,topic_988,0.021345265
dotnetrdf,topic_726,0.0064499336
xlink,topic_353,0.0069669005
tilt,topic_870,0.010901048
stunnel,topic_94,0.00693154
poi-hssf,topic_183,0.006847797
exec-maven-plugin,topic_195,0.00417213
static-constructor,topic_360,0.009162061
xcode9.4,topic_441,0.007944228
dynamic-compilation,topic_805,0.0050772415
jitpack,topic_686,0.0056139515
remoteobject,topic_362,0.0018950939
oxygene,topic_107,0.0026711745
javascript-engine,topic_95,0.0044745957
google-api-ruby-client,topic_342,0.0023281067
monkey,topic_252,0.0068634357
dragula,topic_167,0.0070049413
fragment-lifecycle,topic_600,0.0024767187
groupwise-maximum,topic_946,0.0049312003
sql-drop,topic_372,0.026787993
windows-api-code-pack,topic_843,0.0041780723
culling,topic_378,0.012090546
deployd,topic_695,0.004991217
pearson-correlation,topic_308,0.008862001
puredata,topic_440,0.008577384
ngen,topic_909,0.007428198
selenium-extent-report,topic_324,0.001302256
python-cffi,topic_390,0.001922919
filelist,topic_167,0.005298355
automapper-2,topic_581,0.0048311246
panning,topic_50,0.027877564
scenegraph,topic_549,0.0074854316
urlparse,topic_562,0.006220233
bootcompleted,topic_269,0.0023736076
pdfrenderer,topic_454,0.0046577686
breakout,topic_14,0.01280994
xml-libxml,topic_945,0.008722074
wordpress-thesis-theme,topic_54,0.0055406657
mersenne-twister,topic_103,0.009213187
unsupported-class-version,topic_727,0.007267063
zend-mail,topic_623,0.0105810035
nawk,topic_874,0.0015186477
remote-branch,topic_914,0.0010446316
eventargs,topic_726,0.008416729
san,topic_223,0.0056007225
cordova-ios,topic_890,0.008085587
html-sanitizing,topic_108,0.0091430135
stochastic,topic_283,0.008471381
muse,topic_255,0.0048543336
diazo,topic_997,0.0023970932
tvirtualstringtree,topic_581,0.0056543658
rightbarbuttonitem,topic_611,0.0045893337
instant,topic_982,0.0072027706
c++builder-2010,topic_583,0.0043747793
ocl,topic_879,0.005334617
stackframe,topic_903,0.008326407
ipopt,topic_125,0.015950473
rewardedvideoad,topic_667,0.0070801303
ldif,topic_907,0.002883807
collectionfs,topic_800,0.008964074
rvm-capistrano,topic_898,0.005711811
android-looper,topic_442,0.00010656853
multiple-axes,topic_741,0.002801884
rep,topic_296,0.004472119
resharper-8.0,topic_79,0.007594477
angularjs-ng-init,topic_418,0.008994364
om,topic_836,0.0033705267
zend-auth,topic_781,0.0039503993
eoferror,topic_983,0.001091069
bind-variables,topic_628,0.0036875454
isnullorempty,topic_875,0.0036758971
facebook-sdk-3.1,topic_490,0.0035456817
payum,topic_802,0.005132749
multiple-versions,topic_148,0.003975272
grunt-contrib-connect,topic_224,0.005783329
jquery-selectbox,topic_763,0.010192825
splitcontainer,topic_847,0.001112493
rubyzip,topic_674,0.00056789623
osx-gatekeeper,topic_596,0.004418885
virtualpathprovider,topic_302,0.0019528978
selenium-grid2,topic_602,0.002978801
checkmark,topic_201,0.003405416
strncpy,topic_652,0.014375443
sql-server-2008r2-express,topic_548,0.020947516
