Tag,h2.2008,h1.2009,h2.2009,h1.2010,h2.2010,h1.2011,h2.2011,h1.2012,h2.2012,h1.2013,h2.2013,h1.2014,h2.2014,h1.2015,h2.2015,h1.2016,h2.2016,h1.2017,h2.2017,h1.2018,h2.2018,h1.2019,h2.2019,TopicNumber,Propensity
angularjs-resource,0,0,0,0,0,0,0,0,0,12,49,66,54,35,31,13,7,5,1,2,2,1,0,topic_218,0.0060627596
django-autocomplete-light,0,0,0,0,0,0,0,0,4,9,12,18,16,11,32,24,30,20,20,14,11,11,5,topic_859,0.045057293
impersonation,17,56,54,69,67,77,83,76,82,82,87,69,66,55,52,64,49,43,36,42,46,42,21,topic_60,0.013894257
upload,50,162,280,387,328,539,635,868,830,939,911,831,723,718,641,635,562,553,442,458,441,470,150,topic_506,0.51297987
rails-activejob,0,0,0,0,0,0,0,0,0,0,0,0,10,67,41,46,44,38,21,34,41,21,9,topic_530,0.024170179
cck,5,15,35,84,102,128,42,32,26,16,6,5,3,1,2,0,0,0,0,0,0,0,0,topic_501,0.007973049
descriptor,1,6,13,4,10,20,12,13,21,18,16,30,16,39,22,32,19,28,18,30,19,21,6,topic_283,0.029596932
twitter-bootstrap-2,0,0,0,0,0,0,0,13,20,13,61,77,103,31,25,12,10,7,3,2,4,1,0,topic_221,0.0057640853
twitter-bootstrap-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,72,118,276,166,136,0,0,0,topic_481,0.0076724607
angular-service-worker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,65,63,73,23,topic_359,0.0011009052
onactivityresult,0,0,0,0,1,2,5,4,3,2,67,83,91,85,74,72,62,47,58,37,48,48,10,topic_968,0.03005299
usb-drive,7,17,15,16,14,12,14,18,23,26,42,32,26,33,28,25,29,34,16,21,13,21,12,topic_451,0.08120226
css-shapes,0,0,0,2,5,11,22,33,51,67,87,100,204,354,183,223,82,77,59,54,31,41,18,topic_55,0.06239671
modal-dialog,30,72,144,203,235,356,341,405,548,614,684,659,564,604,591,552,499,539,495,472,478,466,156,topic_582,0.4203275
session-variables,13,32,40,75,96,162,148,164,254,335,318,288,212,214,173,165,150,143,124,146,121,97,33,topic_383,0.07843929
azure-virtual-network,0,0,0,0,0,1,0,0,5,20,12,16,16,36,30,64,50,74,71,70,69,73,18,topic_65,0.02598818
spring-batch,0,0,5,7,14,47,82,96,111,146,200,333,379,455,437,461,405,383,384,411,512,527,188,topic_393,0.23721029
stargazer,0,0,0,0,0,0,0,0,0,7,6,26,12,26,29,23,32,29,25,28,25,34,12,topic_759,0.013314948
info.plist,1,2,7,9,16,21,19,18,24,23,39,23,40,31,30,44,43,40,29,26,45,41,9,topic_788,0.031718887
web3js,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,49,131,105,118,40,topic_22,0.018406661
tex,3,20,26,42,36,24,19,24,16,25,22,39,48,43,33,28,30,37,34,29,37,37,14,topic_834,0.0242551
game-development,0,2,3,3,2,6,17,6,23,35,35,30,26,18,25,23,16,25,14,64,164,211,70,topic_154,0.03694279
cdi,0,0,0,23,42,86,157,187,198,242,315,247,298,288,244,246,169,201,178,146,153,113,35,topic_332,0.15317485
require,4,10,20,40,67,74,95,117,133,169,165,134,145,174,176,192,168,158,120,140,140,100,44,topic_123,0.012557922
cdn,5,15,29,59,67,90,96,111,124,139,118,140,103,136,140,147,144,130,102,104,133,110,47,topic_609,0.18031104
click,13,53,104,203,236,427,481,536,625,718,661,577,425,471,387,353,326,360,289,286,275,254,93,topic_466,0.43200254
outputcache,11,18,19,43,45,58,70,62,43,37,35,34,32,31,23,27,19,14,11,16,7,12,3,topic_154,0.030217659
ef-fluent-api,0,0,0,0,1,4,0,1,0,5,6,7,43,56,83,65,82,68,57,60,66,55,7,topic_926,0.022488348
standards,44,89,132,142,171,202,201,167,167,176,186,174,119,137,138,127,109,127,82,89,98,71,29,topic_613,0.27401808
wildfly,0,0,0,0,1,1,0,1,0,2,43,247,323,483,548,514,466,475,418,405,418,445,159,topic_507,0.27546245
do-while,1,1,2,11,10,31,34,39,68,118,159,147,149,135,176,174,138,154,148,119,128,79,31,topic_725,0.2335425
tfs,181,359,385,464,540,595,640,745,824,950,1034,1237,1225,1175,1194,1424,1321,1223,1216,1325,953,750,201,topic_34,0.62206984
layout-manager,2,6,8,12,15,42,80,159,206,256,179,240,256,267,161,156,118,118,82,77,80,82,16,topic_902,0.023759298
hang,4,5,7,17,15,55,57,47,70,66,52,67,77,60,56,77,54,35,32,46,41,38,10,topic_531,0.024390848
glade,5,14,17,23,26,41,47,37,34,45,28,50,40,48,42,46,37,41,43,34,37,32,5,topic_864,0.05498602
richtextbox,18,89,126,149,147,183,189,206,239,231,242,209,158,146,157,130,100,107,91,97,85,90,20,topic_273,0.09396996
postfix-notation,0,3,4,4,9,6,15,22,35,30,57,50,36,32,28,32,24,24,18,18,24,27,4,topic_252,0.027549889
google-spreadsheet-api,0,0,0,1,5,12,18,42,82,80,101,112,90,158,90,141,132,165,147,129,1,0,0,topic_488,0.023254013
tfs2008,25,31,38,109,95,68,45,30,27,16,9,13,6,5,1,3,0,1,2,1,1,1,0,topic_68,0.063596494
turn,0,0,0,1,1,1,0,0,0,0,0,8,12,15,24,28,25,19,19,20,23,32,8,topic_975,0.034627493
angular2-aot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,162,91,50,17,17,4,topic_606,0.021801792
py2neo,0,0,0,0,0,0,0,1,9,21,46,36,40,78,41,70,44,55,30,35,47,40,17,topic_843,0.03026362
webpack-style-loader,0,0,0,0,0,0,0,0,0,0,0,0,0,6,27,49,55,67,44,57,38,27,8,topic_632,0.034226462
screen-readers,3,5,10,52,9,9,9,16,13,24,23,27,32,41,26,47,35,48,48,45,40,46,19,topic_433,0.06294909
flume-ng,0,0,0,0,0,0,0,0,0,0,0,11,30,64,59,52,23,35,32,25,32,12,8,topic_190,0.03250215
skype,5,13,19,29,34,50,52,57,77,81,62,70,56,58,75,75,113,94,65,68,58,78,13,topic_624,0.061806053
roku,0,0,0,1,0,0,0,6,3,8,6,14,8,23,32,18,59,29,30,37,28,36,34,topic_415,0.019407721
tfs2010,0,1,23,160,344,453,588,608,433,281,206,151,117,97,62,45,28,19,10,14,16,5,5,topic_64,0.19958568
uipopovercontroller,0,0,0,51,85,160,176,188,171,187,152,83,126,76,66,53,45,34,22,14,7,10,4,topic_409,0.06891952
hornetq,0,0,1,5,12,14,59,39,47,62,52,63,53,56,36,31,6,16,15,6,14,13,2,topic_329,0.030849524
boost-serialization,2,6,7,8,18,19,32,32,21,45,30,37,12,18,24,23,7,19,8,9,9,7,7,topic_865,0.015107473
relational-algebra,1,6,2,11,10,16,22,27,24,38,35,41,28,32,39,45,21,34,25,27,18,17,1,topic_775,0.014832949
saml,5,15,17,26,34,53,48,68,92,107,96,140,139,186,150,172,169,190,160,185,188,240,91,topic_169,0.029281875
checkbox,28,112,250,358,415,815,871,1162,1184,1533,1856,2095,1761,1857,1866,1907,1690,1698,1413,1017,844,840,264,topic_164,0.6500654
hana,0,0,0,0,0,0,0,0,0,5,32,36,53,58,72,90,146,178,190,124,178,133,39,topic_945,0.068339586
flip,0,6,7,20,25,30,42,44,52,55,53,47,36,33,35,29,21,23,22,11,24,17,3,topic_353,0.06810074
solaris,60,70,102,98,107,137,163,157,203,148,164,194,126,132,109,135,126,100,76,67,67,57,20,topic_874,0.02832152
itext7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,112,120,141,199,177,139,73,topic_530,0.06368546
connect,2,12,13,38,37,96,123,190,209,189,172,175,120,103,84,95,87,60,62,61,78,84,24,topic_1,0.26818413
cfc,7,14,19,23,28,32,38,49,44,19,24,21,22,13,16,17,5,8,11,6,8,7,1,topic_14,0.06315634
recyclerview-layout,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,25,29,23,59,109,91,98,5,topic_737,0.0058354503
c,1152,2528,4241,6660,8632,10855,11761,14886,16177,19243,21527,22450,19502,21219,18946,18246,16430,16506,14234,13360,12900,13982,3782,topic_716,0.95188755
salt,7,12,19,37,40,58,52,70,66,87,59,62,60,52,46,46,32,61,48,46,28,41,10,topic_573,0.13856874
d,16,39,33,32,93,142,174,190,136,131,198,237,153,151,169,147,107,85,65,51,58,70,10,topic_585,0.046178464
arm-template,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,34,36,65,81,102,148,170,58,topic_235,0.034877487
tfs2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,195,207,189,89,51,19,topic_34,0.024127182
haml,6,20,50,118,109,190,193,347,287,294,270,264,219,209,183,156,104,101,86,74,67,51,13,topic_601,0.36797753
tfs2013,0,0,2,0,0,0,0,1,0,1,91,202,263,365,272,184,102,66,62,36,25,14,2,topic_307,0.12699011
tfs2012,0,0,2,0,0,0,3,26,214,431,421,283,198,108,82,66,47,26,12,11,8,11,6,topic_34,0.060785536
m,5,0,1,1,0,0,0,0,1,2,1,4,3,2,6,33,28,54,38,50,87,118,41,topic_929,0.03077729
tfs2015,0,0,0,0,0,0,0,0,0,0,0,0,1,17,205,409,376,283,120,121,57,45,16,topic_64,0.089679986
docker-machine,0,0,0,0,0,0,0,0,0,0,0,0,2,19,136,202,203,161,172,116,129,112,48,topic_853,0.08161079
prettier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,31,43,79,114,27,topic_165,0.019323356
q,0,0,0,0,0,0,1,3,7,67,106,191,156,179,186,157,92,76,54,20,25,14,6,topic_792,0.23339161
concurrent.futures,0,0,0,0,0,1,1,5,1,3,6,17,18,28,24,20,29,31,41,45,45,63,23,topic_820,0.037653323
r,8,40,484,832,1432,2341,3495,5099,7111,10461,11832,15563,15408,19491,21280,23073,21387,24912,26272,27884,26353,29619,9755,topic_780,0.8880113
rails-migrations,0,4,5,5,13,46,60,56,64,97,67,68,55,59,60,64,45,40,38,29,26,18,6,topic_674,0.0037506318
ondestroy,0,0,0,1,3,17,22,21,19,28,28,24,15,27,13,16,17,17,14,5,6,8,3,topic_58,0.029307978
cancan,0,0,0,4,43,111,129,148,146,194,155,111,82,59,50,42,30,16,26,14,18,8,2,topic_124,0.053220965
android-actionbar,0,0,0,1,1,47,147,405,694,819,1040,1172,1141,1070,691,415,282,207,181,154,106,96,29,topic_698,0.31020948
worklight-server,0,0,0,0,0,0,0,0,0,3,75,98,101,23,20,24,16,10,14,9,10,4,1,topic_989,0.016511656
dotnetopenauth,6,30,41,73,102,103,75,137,120,151,106,52,24,24,18,11,8,9,5,4,6,5,3,topic_87,0.040225085
bukkit,0,0,0,0,0,0,1,13,22,39,88,150,127,137,157,147,99,105,73,50,60,64,24,topic_588,0.016191276
confluence,1,4,6,18,14,11,26,33,32,44,37,51,50,57,60,73,69,87,54,54,62,55,23,topic_659,0.011631303
resolve,0,2,4,18,8,20,16,20,17,23,27,28,39,35,37,36,30,47,37,34,24,28,2,topic_828,0.01799679
cgi,52,100,142,196,216,280,292,298,327,339,388,333,292,271,214,198,220,184,166,106,147,153,46,topic_317,0.064052016
blogs,30,53,97,100,110,115,127,165,139,158,172,162,122,117,100,95,110,101,87,74,84,84,25,topic_246,0.09254872
cgo,0,0,0,0,0,0,0,7,9,18,16,16,22,31,26,49,45,37,36,51,48,44,18,topic_237,0.00918043
sql-server,2059,3892,5150,5295,6403,7338,7385,8656,9883,12220,14939,16276,15390,16913,16549,17681,17397,17953,16657,15141,14744,14664,4744,topic_824,0.9601776
analytics,15,22,47,58,101,144,145,148,162,165,184,240,230,239,260,220,244,270,240,210,254,197,64,topic_517,0.1103792
chrome-web-store,0,0,0,0,0,3,12,13,34,27,11,44,35,38,24,39,25,14,20,25,24,26,3,topic_392,0.027424615
pinchzoom,0,0,0,1,0,2,1,17,48,66,63,65,69,32,50,35,37,20,24,17,32,41,5,topic_221,0.009479398
deep-copy,3,11,11,21,33,48,45,46,54,75,69,69,50,78,53,59,59,49,78,55,63,55,21,topic_591,0.117508814
buildout,1,3,14,21,20,31,30,37,35,30,36,14,19,19,10,8,5,2,3,5,4,3,1,topic_990,0.062073916
dynamics-ax-2012,0,0,0,0,0,0,9,50,66,91,57,111,95,115,117,105,102,91,33,27,27,21,11,topic_752,0.056358527
jsf-2,0,0,3,91,412,868,1342,1697,1860,2148,1757,1438,1020,901,704,488,333,352,245,128,80,74,21,topic_422,0.7586289
bufferedimage,2,9,11,34,45,72,85,124,130,179,188,182,133,131,120,130,86,80,57,46,47,51,5,topic_110,0.08325117
mapply,0,0,0,0,0,1,0,1,0,0,12,24,14,30,28,43,34,32,39,24,30,31,14,topic_899,0.01166954
dimple.js,0,0,0,0,0,0,0,0,0,0,12,64,81,56,53,32,31,18,7,7,8,1,0,topic_828,0.01246457
spring-jdbc,1,3,8,9,13,28,33,47,57,89,80,105,110,117,114,122,115,130,105,142,161,130,56,topic_684,0.06524624
behaviorsubject,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,26,30,43,64,54,64,24,topic_839,0.00301384
primefaces,0,0,0,9,82,329,516,989,1433,2065,1830,1838,1594,1387,1170,987,832,876,633,525,503,448,154,topic_175,0.84557116
pythonpath,0,0,11,10,21,22,24,36,31,42,29,33,29,26,31,39,26,34,27,27,31,33,11,topic_602,0.009273167
