Tag,H2.2008,H1.2009,H2.2009,H1.2010,H2.2010,H1.2011,H2.2011,H1.2012,H2.2012,H1.2013,H2.2013,H1.2014,H2.2014,H1.2015,H2.2015,H1.2016,H2.2016,H1.2017,H2.2017,H1.2018,H2.2018,H1.2019,H2.2019,TopicNumber,Propensity
impersonation,17,56,54,69,67,77,83,76,82,82,87,69,66,55,52,64,49,43,36,42,46,42,21,topic_813,0.09088424
upload,50,162,280,387,328,539,635,868,830,939,911,831,723,718,641,635,562,553,442,458,441,470,150,topic_1157,0.10917475
twitter-bootstrap-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,72,118,276,166,136,0,0,0,topic_481,0.008181546
onactivityresult,0,0,0,0,1,2,5,4,3,2,67,83,91,85,74,72,62,47,58,37,48,48,10,topic_1400,0.055261694
css-shapes,0,0,0,2,5,11,22,33,51,67,87,100,204,354,183,223,82,77,59,54,31,41,18,topic_55,0.07044239
modal-dialog,30,72,144,203,235,356,341,405,548,614,684,659,564,604,591,552,499,539,495,472,478,466,156,topic_582,0.4674086
session-variables,13,32,40,75,96,162,148,164,254,335,318,288,212,214,173,165,150,143,124,146,121,97,33,topic_383,0.087931424
azure-virtual-network,0,0,0,0,0,1,0,0,5,20,12,16,16,36,30,64,50,74,71,70,69,73,18,topic_1259,0.007212657
spring-batch,0,0,5,7,14,47,82,96,111,146,200,333,379,455,437,461,405,383,384,411,512,527,188,topic_1466,0.058894955
stargazer,0,0,0,0,0,0,0,0,0,7,6,26,12,26,29,23,32,29,25,28,25,34,12,topic_1144,0.068529606
web3js,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,49,131,105,118,40,topic_22,0.023276217
tex,3,20,26,42,36,24,19,24,16,25,22,39,48,43,33,28,30,37,34,29,37,37,14,topic_1120,0.08500514
game-development,0,2,3,3,2,6,17,6,23,35,35,30,26,18,25,23,16,25,14,64,164,211,70,topic_1376,0.12318182
cdi,0,0,0,23,42,86,157,187,198,242,315,247,298,288,244,246,169,201,178,146,153,113,35,topic_332,0.19041257
require,4,10,20,40,67,74,95,117,133,169,165,134,145,174,176,192,168,158,120,140,140,100,44,topic_1463,0.111072846
cdn,5,15,29,59,67,90,96,111,124,139,118,140,103,136,140,147,144,130,102,104,133,110,47,topic_609,0.43537933
ef-fluent-api,0,0,0,0,1,4,0,1,0,5,6,7,43,56,83,65,82,68,57,60,66,55,7,topic_926,0.041507065
standards,44,89,132,142,171,202,201,167,167,176,186,174,119,137,138,127,109,127,82,89,98,71,29,topic_613,0.5281678
wildfly,0,0,0,0,1,1,0,1,0,2,43,247,323,483,548,514,466,475,418,405,418,445,159,topic_507,0.3561703
do-while,1,1,2,11,10,31,34,39,68,118,159,147,149,135,176,174,138,154,148,119,128,79,31,topic_725,0.2447979
tfs,181,359,385,464,540,595,640,745,824,950,1034,1237,1225,1175,1194,1424,1321,1223,1216,1325,953,750,201,topic_34,0.66584367
layout-manager,2,6,8,12,15,42,80,159,206,256,179,240,256,267,161,156,118,118,82,77,80,82,16,topic_1376,0.3959091
glade,5,14,17,23,26,41,47,37,34,45,28,50,40,48,42,46,37,41,43,34,37,32,5,topic_864,0.08662751
richtextbox,18,89,126,149,147,183,189,206,239,231,242,209,158,146,157,130,100,107,91,97,85,90,20,topic_273,0.12702188
postfix-notation,0,3,4,4,9,6,15,22,35,30,57,50,36,32,28,32,24,24,18,18,24,27,4,topic_1312,0.06017678
google-spreadsheet-api,0,0,0,1,5,12,18,42,82,80,101,112,90,158,90,141,132,165,147,129,1,0,0,topic_488,0.029062675
tfs2008,25,31,38,109,95,68,45,30,27,16,9,13,6,5,1,3,0,1,2,1,1,1,0,topic_68,0.17499162
angular2-aot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,162,91,50,17,17,4,topic_606,0.024580477
py2neo,0,0,0,0,0,0,0,1,9,21,46,36,40,78,41,70,44,55,30,35,47,40,17,topic_843,0.12815082
screen-readers,3,5,10,52,9,9,9,16,13,24,23,27,32,41,26,47,35,48,48,45,40,46,19,topic_433,0.08672616
flume-ng,0,0,0,0,0,0,0,0,0,0,0,11,30,64,59,52,23,35,32,25,32,12,8,topic_190,0.061957058
skype,5,13,19,29,34,50,52,57,77,81,62,70,56,58,75,75,113,94,65,68,58,78,13,topic_1047,0.12202465
roku,0,0,0,1,0,0,0,6,3,8,6,14,8,23,32,18,59,29,30,37,28,36,34,topic_1279,0.13060498
tfs2010,0,1,23,160,344,453,588,608,433,281,206,151,117,97,62,45,28,19,10,14,16,5,5,topic_64,0.37847617
uipopovercontroller,0,0,0,51,85,160,176,188,171,187,152,83,126,76,66,53,45,34,22,14,7,10,4,topic_881,0.07266141
hornetq,0,0,1,5,12,14,59,39,47,62,52,63,53,56,36,31,6,16,15,6,14,13,2,topic_1328,0.002866375
saml,5,15,17,26,34,53,48,68,92,107,96,140,139,186,150,172,169,190,160,185,188,240,91,topic_169,0.23410273
checkbox,28,112,250,358,415,815,871,1162,1184,1533,1856,2095,1761,1857,1866,1907,1690,1698,1413,1017,844,840,264,topic_908,0.7205702
hana,0,0,0,0,0,0,0,0,0,5,32,36,53,58,72,90,146,178,190,124,178,133,39,topic_945,0.086444646
solaris,60,70,102,98,107,137,163,157,203,148,164,194,126,132,109,135,126,100,76,67,67,57,20,topic_874,0.079487726
itext7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,112,120,141,199,177,139,73,topic_1228,0.079937175
connect,2,12,13,38,37,96,123,190,209,189,172,175,120,103,84,95,87,60,62,61,78,84,24,topic_1,0.43755186
cfc,7,14,19,23,28,32,38,49,44,19,24,21,22,13,16,17,5,8,11,6,8,7,1,topic_1169,0.028758083
recyclerview-layout,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,25,29,23,59,109,91,98,5,topic_737,0.0067372336
c,1152,2528,4241,6660,8632,10855,11761,14886,16177,19243,21527,22450,19502,21219,18946,18246,16430,16506,14234,13360,12900,13982,3782,topic_469,0.9818718
salt,7,12,19,37,40,58,52,70,66,87,59,62,60,52,46,46,32,61,48,46,28,41,10,topic_573,0.2833653
d,16,39,33,32,93,142,174,190,136,131,198,237,153,151,169,147,107,85,65,51,58,70,10,topic_585,0.09511765
arm-template,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,34,36,65,81,102,148,170,58,topic_235,0.04793618
tfs2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,195,207,189,89,51,19,topic_34,0.025824964
haml,6,20,50,118,109,190,193,347,287,294,270,264,219,209,183,156,104,101,86,74,67,51,13,topic_1481,0.09348411
tfs2013,0,0,2,0,0,0,0,1,0,1,91,202,263,365,272,184,102,66,62,36,25,14,2,topic_1129,0.084657945
tfs2012,0,0,2,0,0,0,3,26,214,431,421,283,198,108,82,66,47,26,12,11,8,11,6,topic_34,0.065062895
m,5,0,1,1,0,0,0,0,1,2,1,4,3,2,6,33,28,54,38,50,87,118,41,topic_1387,0.044873018
tfs2015,0,0,0,0,0,0,0,0,0,0,0,0,1,17,205,409,376,283,120,121,57,45,16,topic_64,0.17006099
docker-machine,0,0,0,0,0,0,0,0,0,0,0,0,2,19,136,202,203,161,172,116,129,112,48,topic_853,0.09839678
concurrent.futures,0,0,0,0,0,1,1,5,1,3,6,17,18,28,24,20,29,31,41,45,45,63,23,topic_820,0.052499007
rails-migrations,0,4,5,5,13,46,60,56,64,97,67,68,55,59,60,64,45,40,38,29,26,18,6,topic_674,0.02468076
cancan,0,0,0,4,43,111,129,148,146,194,155,111,82,59,50,42,30,16,26,14,18,8,2,topic_124,0.05357973
android-actionbar,0,0,0,1,1,47,147,405,694,819,1040,1172,1141,1070,691,415,282,207,181,154,106,96,29,topic_698,0.5885977
worklight-server,0,0,0,0,0,0,0,0,0,3,75,98,101,23,20,24,16,10,14,9,10,4,1,topic_770,0.016113555
dotnetopenauth,6,30,41,73,102,103,75,137,120,151,106,52,24,24,18,11,8,9,5,4,6,5,3,topic_235,0.07686438
bukkit,0,0,0,0,0,0,1,13,22,39,88,150,127,137,157,147,99,105,73,50,60,64,24,topic_1252,0.2127559
confluence,1,4,6,18,14,11,26,33,32,44,37,51,50,57,60,73,69,87,54,54,62,55,23,topic_1381,0.16215259
cgi,52,100,142,196,216,280,292,298,327,339,388,333,292,271,214,198,220,184,166,106,147,153,46,topic_62,0.3776677
cgo,0,0,0,0,0,0,0,7,9,18,16,16,22,31,26,49,45,37,36,51,48,44,18,topic_1082,0.0153121315
sql-server,2059,3892,5150,5295,6403,7338,7385,8656,9883,12220,14939,16276,15390,16913,16549,17681,17397,17953,16657,15141,14744,14664,4744,topic_548,0.97679365
analytics,15,22,47,58,101,144,145,148,162,165,184,240,230,239,260,220,244,270,240,210,254,197,64,topic_1300,0.16662343
chrome-web-store,0,0,0,0,0,3,12,13,34,27,11,44,35,38,24,39,25,14,20,25,24,26,3,topic_700,0.035084732
deep-copy,3,11,11,21,33,48,45,46,54,75,69,69,50,78,53,59,59,49,78,55,63,55,21,topic_591,0.243309
dynamics-ax-2012,0,0,0,0,0,0,9,50,66,91,57,111,95,115,117,105,102,91,33,27,27,21,11,topic_1434,0.027347555
