Tag,Q3.2008,Q4.2008,Q1.2009,Q2.2009,Q3.2009,Q4.2009,Q1.2010,Q2.2010,Q3.2010,Q4.2010,Q1.2011,Q2.2011,Q3.2011,Q4.2011,Q1.2012,Q2.2012,Q3.2012,Q4.2012,Q1.2013,Q2.2013,Q3.2013,Q4.2013,Q1.2014,Q2.2014,Q3.2014,Q4.2014,Q1.2015,Q2.2015,Q3.2015,Q4.2015,Q1.2016,Q2.2016,Q3.2016,Q4.2016,Q1.2017,Q2.2017,Q3.2017,Q4.2017,Q1.2018,Q2.2018,Q3.2018,Q4.2018,Q1.2019,Q2.2019,Q3.2019,TopicNumber,Propensity
ready-api,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,7,12,12,11,19,15,14,11,13,17,5,6,topic_40,0.006430082
gojs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,5,5,8,5,26,6,15,14,8,12,14,21,13,16,12,13,15,10,12,14,11,topic_634,0.007545694
django-autocomplete-light,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,4,8,10,8,8,8,7,4,10,22,13,11,12,18,11,9,14,6,7,7,6,5,7,4,5,topic_859,0.022433009
impersonation,7,10,25,31,27,27,30,39,32,35,38,39,48,35,39,37,40,42,44,38,45,42,38,31,34,32,25,30,30,22,26,38,23,26,15,28,25,11,15,27,22,24,23,19,21,topic_60,0.012906469
octobercms-backend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,28,12,17,24,17,12,21,16,15,11,topic_917,0.010718432
drupal-rules,0,0,0,0,1,1,1,1,4,3,2,4,3,5,1,5,6,7,3,11,13,6,5,3,9,4,2,3,3,6,1,1,2,1,1,1,1,0,2,2,1,1,0,0,0,topic_501,0.00166707
cck,3,2,3,12,15,20,30,54,55,47,77,51,18,24,17,15,14,12,7,9,4,2,2,3,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,topic_501,0.006661638
descriptor,0,1,1,5,7,6,3,1,7,3,10,10,9,3,4,9,9,12,8,10,8,8,18,12,9,7,13,26,12,10,17,15,8,11,17,11,10,8,13,17,11,8,8,13,6,topic_953,0.024574999
ccl,0,1,0,0,0,1,0,1,0,1,1,3,2,4,6,2,5,0,1,10,6,2,6,7,1,5,0,4,3,3,1,5,1,5,4,3,1,0,1,3,1,2,3,2,2,topic_336,0.001920075
twitter-bootstrap-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,8,12,7,6,27,34,30,47,50,53,19,12,9,16,9,3,5,5,2,5,2,1,1,1,2,2,0,1,0,topic_221,0.009215309
